Czas;Plec;Wiek;Wsparcie;SE;Przekonania_kulturowe;Przekonania_ekonomiczne;Fundamentalizm_religijny;Ksenofobia;Akceptacja_kapitalizmu;Antyinterwencjonizm;GSES_1;GSES_2;GSES_3;GSES_4;GSES_5;GSES_6;GSES_7;GSES_8;GSES_9;GSES_10;KPP_1;KPP_2;KPP_3;KPP_4;KPP_5;KPP_6;KPP_6_ODW;KPP_7;KPP_8;KPP_8_ODW;KPP_9;KPP_10;KPP_11;KPP_11_ODW;KPP_12;KPP_12_ODW;KPP_13;KPP_14;KPP_14_ODW;KPP_15;KPP_16;KPP_16_ODW;KPP_17;KPP_17_ODW;KPP_18;KPP_19;KPP_19_ODW
2020/07/16 5:07:39 PM CET;0;26;0;31;3;1,88;3,67;2,33;2,33;1,43;3;3;4;3;3;3;3;3;3;3;2;3;4;2;3;3;3;4;5;1;5;2;1;5;5;1;3;5;1;2;5;1;4;2;1;5;1
2020/07/16 5:12:55 PM CET;1;29;0;29;2,67;4,24;1,33;4;4,33;4,14;4;2;1;3;4;3;2;3;3;4;1;5;2;4;1;1;5;5;2;4;1;4;4;2;1;5;1;1;5;4;4;2;3;3;3;1;5
2020/07/16 5:20:28 PM CET;0;28;0;36;1,75;2,21;1,83;1,67;2;2,43;4;4;4;4;4;4;3;3;3;3;1;2;2;2;2;2;4;1;2;4;1;2;2;4;5;1;1;5;1;2;5;1;2;4;2;4;2
2020/07/16 6:11:08 PM CET;0;27;0;30;2,25;2,93;2,17;2,33;3;2,86;3;3;3;3;3;3;3;3;3;3;1;4;3;2;2;3;3;2;2;4;2;3;3;3;4;2;2;3;3;2;3;3;3;3;3;4;2
2020/07/16 7:49:06 PM CET;1;25;0;32;1,58;3,38;1,83;1,33;4,33;2,43;4;4;1;2;4;4;1;4;4;4;3;5;2;4;2;3;3;1;1;5;1;4;5;1;5;1;2;5;1;1;5;1;2;4;2;4;2
2020/07/16 8:11:59 PM CET;1;28;1;32;2,58;2,43;2,17;3;3;1,86;4;3;3;3;3;3;4;3;3;3;1;3;1;4;1;1;5;3;5;1;5;2;4;2;5;1;3;5;1;3;5;1;5;1;3;3;3
2020/07/16 8:31:30 PM CET;0;29;1;31;4,83;2,86;5;4,67;3;2,71;3;2;3;3;4;3;4;3;3;3;5;3;5;3;5;3;3;5;3;3;5;3;1;5;4;2;5;3;3;5;4;2;3;3;4;3;3
2020/07/16 10:29:00 PM CET;0;27;1;31;2;3,38;2;2;3,33;3,43;3;3;3;4;3;4;2;2;3;4;2;4;2;3;1;3;3;2;1;5;2;3;2;4;4;2;1;3;3;1;2;4;2;4;3;3;3
2020/07/16 11:17:12 PM CET;0;25;0;30;4,17;2,26;5;3,33;2,67;1,86;3;3;2;2;2;3;3;4;4;4;5;5;5;1;5;3;3;4;5;1;5;2;1;5;5;1;5;5;1;3;5;1;3;3;3;3;3
2020/07/17 6:36:30 AM CET;0;28;0;34;3;2,48;2,33;3,67;2,67;2,29;4;3;3;3;3;4;4;3;3;4;4;1;3;5;1;5;1;4;3;3;1;2;3;3;4;2;2;3;3;4;5;1;1;5;3;5;1
2020/07/17 8:05:36 AM CET;1;28;0;22;2,17;2,29;1,33;3;1;3,57;2;2;2;2;2;2;2;2;3;3;2;1;2;1;1;1;5;3;1;5;1;1;5;1;4;2;1;4;2;3;2;4;1;5;3;4;2
2020/07/17 8:31:03 AM CET;1;44;1;31;2,33;4,83;3,33;1,33;4,67;5;4;2;2;3;3;4;3;3;3;4;1;4;3;5;3;1;5;1;1;5;5;5;1;5;1;5;3;1;5;2;1;5;1;5;1;1;5
2020/07/17 9:24:53 AM CET;0;25;0;25;2,83;2,02;2,67;3;2,33;1,71;3;3;2;2;2;3;2;2;3;3;3;3;2;1;2;3;3;4;4;2;4;3;2;4;5;1;1;4;2;3;5;1;5;1;2;4;2
2020/07/17 11:05:58 AM CET;0;24;0;28;2;2,5;1;3;3;2;3;3;2;3;3;3;2;3;3;3;1;3;1;2;1;4;2;5;3;3;1;4;5;1;5;1;1;5;1;2;3;3;4;2;2;4;2
2020/07/17 12:25:54 PM CET;0;24;1;23;3,67;1,95;2,67;4,67;1,33;2,57;3;2;3;2;2;3;1;2;2;3;2;1;5;2;3;2;4;5;3;3;2;1;4;2;2;4;2;5;1;4;5;1;2;4;5;5;1
2020/07/17 2:42:35 PM CET;1;29;1;30;2,08;2,95;1,83;2,33;2,33;3,57;3;3;3;3;3;3;3;3;3;3;1;3;2;2;2;1;5;2;2;4;3;2;4;2;4;2;1;2;4;4;2;4;3;3;1;3;3
2020/07/17 9:57:50 PM CET;1;35;1;28;2,25;2,55;1,83;2,67;1,67;3,43;2;3;2;3;3;3;3;3;3;3;1;1;1;2;1;2;4;4;4;2;3;2;2;4;3;3;1;2;4;2;3;3;3;3;2;1;5
2020/07/19 6:27:55 PM CET;1;28;1;30;1;2,93;1;1;3;2,86;1;3;2;3;3;2;4;4;4;4;1;4;1;3;1;2;4;1;1;5;1;2;5;1;4;2;1;3;3;1;4;2;5;1;1;3;3
2020/07/20 5:19:01 PM CET;0;27;0;20;1,83;2,55;1,67;2;2,67;2,43;2;2;2;1;2;2;2;2;2;3;1;2;3;2;2;2;4;2;3;3;1;4;5;1;4;2;2;4;2;2;5;1;4;2;2;3;3
2020/07/22 9:13:39 PM CET;0;33;1;32;1,92;3,12;1,5;2,33;2,67;3,57;3;3;4;3;3;4;3;3;3;3;2;5;1;1;1;1;5;4;4;2;2;2;4;2;1;5;1;4;2;1;2;4;2;4;2;3;3
2020/08/04 5:08:46 AM CET;1;55;1;35;2,58;2,79;3,17;2;2;3,57;4;3;3;3;3;4;4;3;4;4;1;2;5;1;2;1;5;1;3;3;5;3;1;5;5;1;1;3;3;4;2;4;2;4;1;1;5
